Wed Mar 24 19:55:28 2021    mcts_search.profile

         295717 function calls (285931 primitive calls) in 1.130 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      984    0.000    0.000    0.000    0.000 go.py:157(handle_suicide_illegal)
      997    0.000    0.000    0.000    0.000 fromnumeric.py:2350(_all_dispatcher)
        1    0.000    0.000    1.130    1.130 {built-in method builtins.exec}
      997    0.000    0.000    0.000    0.000 multiarray.py:1054(copyto)
        1    0.000    0.000    0.000    0.000 go.py:344(score)
        1    0.000    0.000    1.130    1.130 montecarlo.py:83(search)
        2    0.000    0.000    0.000    0.000 go.py:183(<listcomp>)
        1    0.000    0.000    1.130    1.130 playagent.py:45(decide)
       15    0.000    0.000    0.000    0.000 go.py:296(pass_move)
        4    0.000    0.000    0.000    0.000 fromnumeric.py:2111(sum)
       91    0.000    0.000    0.000    0.000 {built-in method builtins.len}
        1    0.000    0.000    1.130    1.130 <string>:1(<module>)
       79    0.000    0.000    0.000    0.000 {method 'pop' of 'set' objects}
        4    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(sum)
        1    0.000    0.000    0.000    0.000 montecarlo.py:181(handle_terminal)
        1    0.000    0.000    0.000    0.000 {method 'argmax' of 'numpy.ndarray' objects}
        4    0.000    0.000    0.000    0.000 {built-in method builtins.isinstance}
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(argmax)
        1    0.000    0.000    0.000    0.000 fromnumeric.py:1119(argmax)
        1    0.000    0.000    0.000    0.000 {method 'sum' of 'numpy.ndarray' objects}
        4    0.000    0.000    0.000    0.000 fromnumeric.py:2106(_sum_dispatcher)
        1    0.000    0.000    0.000    0.000 _methods.py:45(_sum)
        2    0.000    0.000    0.000    0.000 {method 'remove' of 'set' objects}
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
        1    0.000    0.000    0.000    0.000 fromnumeric.py:1115(_argmax_dispatcher)


